label,area,area_convex,centroid,solidity,volume_um,surface_area_um,sphericity,ellipsoid_r_axis_major,ellipsoid_r_axis_medium,ellipsoid_r_axis_minor,aspect_ratio_minor_per_medium,aspect_ratio_medium_per_major,aspect_ratio_minor_per_major,prolate_ratio,oblate_ratio,img_name,organoid,date,magnification,spacing_x_um,spacing_y_um,spacing_z_um,count,relative_z_position,organoid_center,distance_to_organoid_center_um,neighborhood_density,nuc_count_per_organoid
1,15413.0,17085.0,"(36.75494712255888, 91.94932848893791, 51.73042237072601)",0.9021363769388352,524.230408512,374.6241048658177,0.8392729236339675,19.503037364701452,14.81516282730311,13.048713520797671,0.8807674726834578,0.7596336175880519,0.6690605815284207,0.5082409099319999,0.5892867974649116,20231108_P021N_B008a,P021N_B008a,20231108,40x,0.324,0.324,0.324,10,0.16741480612338033,"(75.49684118495985, 67.07785356272419, 58.25230398878995)",15.065336518353996,0,10
2,23261.0,27208.0,"(54.054253901379994, 90.5170886892223, 92.19663814969262)",0.8549323728315201,791.158342464,554.4922612221483,0.7460436584890274,27.612541268396367,20.18764274196102,10.763025385756594,0.5331491904889475,0.731104122063063,0.38978757084105464,0.28497529977084324,0.20781492785656155,20231108_P021N_B008a,P021N_B008a,20231108,40x,0.324,0.324,0.324,10,0.31401910085915247,"(75.49684118495985, 67.07785356272419, 58.25230398878995)",15.06303881707338,0,10
3,21662.0,25058.0,"(47.74323700489336, 44.109131197488686, 47.29627919859662)",0.8644744193471147,736.772796288,503.7800882669972,0.783066865519391,25.344814250563466,16.952201227605165,12.661922746349802,0.7469190918835352,0.6688627132956116,0.4995863304095157,0.33415466848310665,0.3731505682269033,20231108_P021N_B008a,P021N_B008a,20231108,40x,0.324,0.324,0.324,10,0.2605359068211302,"(75.49684118495985, 67.07785356272419, 58.25230398878995)",12.2000487975533,0,10
4,20482.0,23048.0,"(69.06630211893369, 88.41695146958305, 27.182355238746215)",0.8886671294689344,696.638371968,502.43853612849733,0.7563789683789874,26.597363804038714,18.73971414500815,10.138381849023274,0.5410104855694352,0.7045703582910195,0.3811799516568554,0.2685680951122241,0.20622235073520923,20231108_P021N_B008a,P021N_B008a,20231108,40x,0.324,0.324,0.324,10,0.4412398484655398,"(75.49684118495985, 67.07785356272419, 58.25230398878995)",12.388713765793327,0,10
5,13334.0,15777.0,"(81.75266236688165, 44.06172191390431, 104.36478176091195)",0.845154338594156,453.51899481600003,406.8825842574709,0.7015823868186274,28.44886241557477,16.143975008415886,7.7174407210126725,0.47803844573530097,0.5674734818070482,0.2712741412390409,0.1539408814531355,0.12967946884608963,20231108_P021N_B008a,P021N_B008a,20231108,40x,0.324,0.324,0.324,10,0.5487513759905225,"(75.49684118495985, 67.07785356272419, 58.25230398878995)",16.82068154058691,0,10
6,17862.0,19481.0,"(79.04893069085209, 33.470496025081175, 33.206975702608894)",0.9168933832965454,607.526345088,438.92097631642775,0.7903289035185038,23.516937645828605,19.29767296969505,9.573039874764742,0.49607224092760754,0.8205861349944107,0.4070700028608015,0.3340360003197088,0.20193612853356543,20231108_P021N_B008a,P021N_B008a,20231108,40x,0.324,0.324,0.324,10,0.5258383956851872,"(75.49684118495985, 67.07785356272419, 58.25230398878995)",13.62858269332551,0,10
7,16664.0,20288.0,"(103.01116178588575, 26.934409505520883, 57.8041286605857)",0.8213722397476341,566.779700736,471.02463306968525,0.7031533166647329,31.342078755960138,15.637318042242903,9.39525285010339,0.6008225211460752,0.4989240874544496,0.2997648280848873,0.14955989330319236,0.1801054597608818,20231108_P021N_B008a,P021N_B008a,20231108,40x,0.324,0.324,0.324,10,0.7289081507278453,"(75.49684118495985, 67.07785356272419, 58.25230398878995)",15.768966496503849,0,10
8,11688.0,13281.0,"(97.60138603696099, 94.04072553045859, 94.82075633127995)",0.8800542127851818,397.534874112,356.5851826176671,0.7332256582619359,21.562843250847465,17.426194318171362,7.76753262105314,0.44573889624044055,0.8081584657202605,0.36022766249751687,0.291121035033989,0.16056748067691712,20231108_P021N_B008a,P021N_B008a,20231108,40x,0.324,0.324,0.324,10,0.6830625935335677,"(75.49684118495985, 67.07785356272419, 58.25230398878995)",16.370367565021276,0,10
9,14307.0,15872.0,"(106.15069546375899, 98.85929964353114, 50.31523030684281)",0.901398689516129,486.612888768,381.887636488205,0.7834373357216198,23.033816031678214,16.94480891335156,9.047114385716604,0.5339165777542634,0.7356492250371154,0.3927753166593926,0.28894485731418973,0.20970925289713002,20231108_P021N_B008a,P021N_B008a,20231108,40x,0.324,0.324,0.324,10,0.7555143683369406,"(75.49684118495985, 67.07785356272419, 58.25230398878995)",14.535711181973362,0,10
10,12320.0,13712.0,"(118.23465909090909, 62.06323051948052, 34.774594155844156)",0.8984830805134189,419.03059968,338.8533670330115,0.7991644283315228,22.37843216635001,14.121705805900515,9.59422669662122,0.6793957350826864,0.6310408924506801,0.4287264909937642,0.2705439474939534,0.29127494949812915,20231108_P021N_B008a,P021N_B008a,20231108,40x,0.324,0.324,0.324,10,0.8579208397534669,"(75.49684118495985, 67.07785356272419, 58.25230398878995)",15.882182510182503,0,10
1,10476.0,12512.0,"(45.14337533409698, 35.996277205040094, 57.00801832760596)",0.8372762148337596,356.31205862400003,320.6261838570382,0.7580633238580753,18.893626089313234,16.144619622723052,8.925573457529707,0.5528512697175744,0.85450085369557,0.47241188194034717,0.4036763564139575,0.2611735087603898,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,14,0.15776848116606074,"(86.50126817523027, 70.3886927860115, 71.77508883070738)",18.07263728918738,0,14
2,15555.0,18169.0,"(50.836451301832206, 60.60816457730633, 68.09501767920283)",0.8561285706423029,529.0601443200001,424.12912468173454,0.7458578397545341,21.61238842139469,14.697238215029909,12.303711364055824,0.8371444474155436,0.6800376676777062,0.5692897575298085,0.38713847894337783,0.4765777594866203,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,14,0.20727348958114963,"(86.50126817523027, 70.3886927860115, 71.77508883070738)",12.04121412422665,0,14
3,11701.0,12943.0,"(61.184941457995045, 84.88411246901974, 89.85078198444577)",0.9040407942517191,397.977033024,338.1314066009552,0.7738152541181118,24.381904002164678,13.810033845438237,8.620329730769976,0.6242077193472965,0.566405061893942,0.3535544119115818,0.20025500856165576,0.2206913931245031,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,14,0.2972603605043047,"(86.50126817523027, 70.3886927860115, 71.77508883070738)",11.119216804542903,1,14
4,12574.0,13701.0,"(56.430730077938605, 96.00326069667568, 68.82940989343089)",0.9177432304211371,427.669704576,323.2940311288197,0.8490998466778162,19.100621365821333,14.265427750988403,11.298566192808563,0.7920243535652637,0.7468567371590837,0.5915287244542854,0.44178721308180224,0.4685051556011903,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,14,0.2559193919820748,"(86.50126817523027, 70.3886927860115, 71.77508883070738)",12.833919233725112,0,14
5,16502.0,17756.0,"(78.72373045691431, 32.61471336807659, 91.43794691552539)",0.9293759855823384,561.269720448,401.1971423206723,0.8201765898767567,22.74577593359358,17.26944534787315,10.165282592443194,0.5886282036090474,0.7592374688949453,0.4469085874283117,0.33930974474648673,0.263062998995384,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,14,0.4497715691905592,"(86.50126817523027, 70.3886927860115, 71.77508883070738)",14.025838385672683,0,14
6,11912.0,13252.0,"(82.69325050369376, 56.11492612491605, 103.40866353257219)",0.8988831874434048,405.15361228800003,338.69354871694327,0.7817904186841814,26.81422734262597,11.394846298636777,9.66619591972488,0.848295419384577,0.4249552356305508,0.36048757982888985,0.1531910844280729,0.30579996271387927,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,14,0.4842891348147283,"(86.50126817523027, 70.3886927860115, 71.77508883070738)",11.311843982812075,1,14
7,12068.0,13637.0,"(78.44804441498177, 56.24767981438515, 38.74867417964866)",0.8849453692161032,410.459519232,359.417980975151,0.7431295750457169,22.15058390955246,17.737147061107677,7.642225780102664,0.4308599209204172,0.800753024549322,0.3450123848341058,0.2762697106628848,0.14865200884618734,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,14,0.4473742992607111,"(86.50126817523027, 70.3886927860115, 71.77508883070738)",11.929039046632726,0,14
8,10648.0,12012.0,"(78.13514274981218, 107.10584147257701, 48.53841096919609)",0.8864468864468864,362.162161152,294.1721376427064,0.8352528576726319,17.946243178738303,13.228455022679492,11.264198618674891,0.8515127881043564,0.737115556215789,0.6276633224283998,0.46266039902806,0.5344633456718504,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,14,0.44465341521575796,"(86.50126817523027, 70.3886927860115, 71.77508883070738)",14.337079664769927,0,14
9,9568.0,10897.0,"(95.57033862876254, 109.35179765886288, 74.06333612040133)",0.878039827475452,325.428959232,287.0825082199428,0.79698140873902,20.109931146614407,11.924725990018457,9.951236029602539,0.8345043766986495,0.5929769676026979,0.4948418747459447,0.2934298343296844,0.41294771024925575,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,14,0.5962638141631526,"(86.50126817523027, 70.3886927860115, 71.77508883070738)",12.982691141822114,1,14
10,10403.0,11656.0,"(107.70710372008075, 90.70768047678554, 99.1861001634144)",0.8925017158544956,353.829166272,292.0044548323938,0.8284959697365708,19.440019261024013,12.381590550035087,10.807222154058874,0.8728460297880104,0.6369124630889321,0.5559265147296771,0.35407652579292426,0.4852382512356846,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,14,0.7018009019137457,"(86.50126817523027, 70.3886927860115, 71.77508883070738)",13.016222718139836,0,14
11,12869.0,14664.0,"(118.0248659569508, 48.83044525604165, 52.54091226979563)",0.8775913802509547,437.703310656,355.29947162098244,0.7846502495117256,21.03902864623881,16.551914323866214,9.29736284199776,0.5617092174402986,0.78672426385166,0.44191027058941096,0.3476615323179422,0.2482250722716086,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,14,0.7915205735387026,"(86.50126817523027, 70.3886927860115, 71.77508883070738)",13.854358209651046,0,14
12,11115.0,13001.0,"(114.24120557804768, 98.038326585695, 65.41628430049482)",0.8549342358280132,378.04586976,326.744837755245,0.7738172165325061,19.236888468265136,15.309882745608565,9.428463561651542,0.6158416572038065,0.795860659631369,0.49012414753069683,0.3900705273550428,0.30183886725090725,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,14,0.7586191789395451,"(86.50126817523027, 70.3886927860115, 71.77508883070738)",12.856068388929227,2,14
13,11077.0,12272.0,"(120.70443260810688, 55.714814480455, 88.14182540399025)",0.9026238591916558,376.753405248,301.49823033662994,0.8367020146039398,20.149493778025093,13.349927690736976,10.2073763172874,0.7646016183570734,0.6625440737025523,0.5065822709858596,0.3356330814844617,0.38733362422678985,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,14,0.814821153113973,"(86.50126817523027, 70.3886927860115, 71.77508883070738)",13.173097423854555,0,14
14,14644.0,16383.0,"(128.98197213875991, 80.10461622507512, 58.938951106255125)",0.8938533846059941,498.075008256,368.108489261701,0.8254766477659594,19.56376306865302,15.424764906986807,11.98351275982669,0.7769008365501009,0.7884354790465582,0.6125361832370506,0.48294525906385427,0.47587987317407054,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,14,0.886799757728347,"(86.50126817523027, 70.3886927860115, 71.77508883070738)",14.718930985154065,1,14
1,18957.0,20931.0,"(34.73735295669146, 71.75323099646569, 123.22398058764573)",0.9056901246954279,644.769730368,437.9995898202401,0.8240372570656967,21.052813534095755,16.605517161807853,13.340517052703959,0.8033785953614689,0.7887552480771584,0.6336690832842143,0.49980981498466603,0.5090761780528619,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,23,0.12413429532510352,"(90.00428650234069, 112.72601352267897, 116.11192232447797)",22.409429549221844,0,23
2,15262.0,17225.0,"(36.16413314113485, 100.64002096710784, 135.50753505438342)",0.8860377358490567,519.094562688,408.07756270838576,0.7654304369391224,20.52870953439625,18.640894424414693,9.914674072282104,0.5318775937755688,0.9080402444772047,0.48296626028391487,0.4385528010624473,0.2568789323945937,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,23,0.13310775560462165,"(90.00428650234069, 112.72601352267897, 116.11192232447797)",18.950602190403846,2,23
3,18874.0,21216.0,"(37.24785419095051, 92.26205361873477, 86.55255907597754)",0.8896116138763197,641.946715776,450.5517436538692,0.798740006105398,22.22039346824383,14.610205795441319,14.415781352429093,0.9866925595892092,0.6575133701534774,0.6487635501608618,0.42657070829900284,0.640130167876403,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,23,0.1399236112638397,"(90.00428650234069, 112.72601352267897, 116.11192232447797)",20.684731358884974,0,23
4,11814.0,13809.0,"(44.9487895716946, 123.57745048247841, 134.98654139156932)",0.855529002824245,401.820414336,350.00382385489894,0.7523720730344998,19.961254746104213,14.107878870455147,10.5829025388029,0.7501412959368197,0.7067631293673333,0.5301722097839735,0.37470617009051543,0.39770406851703727,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,23,0.1883571671175761,"(90.00428650234069, 112.72601352267897, 116.11192232447797)",16.212963666974378,3,23
5,11105.0,16368.0,"(50.91697433588474, 148.69158036920305, 104.64970733903647)",0.6784579667644184,377.70574752,435.82473293119585,0.5797952425261738,19.005480049788225,16.496028009720256,10.759072833927139,0.652222027483669,0.8679616598215875,0.5661037135469265,0.49135631884135483,0.3692253118156106,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,23,0.22589292035147635,"(90.00428650234069, 112.72601352267897, 116.11192232447797)",17.605822352755787,0,23
6,18867.0,20534.0,"(60.384480839561135, 59.18291196268617, 86.10515715270049)",0.918817570858089,641.708630208,464.9626058715114,0.7737928003707534,26.488557759697766,18.34274833940664,9.475417032811565,0.516575643817511,0.692478182685924,0.3577173630505612,0.24771146948045353,0.18478807712254594,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,23,0.28543698641233417,"(90.00428650234069, 112.72601352267897, 116.11192232447797)",22.081028037739298,0,23
7,10979.0,13013.0,"(55.59750432644139, 112.9124692594954, 69.27115402131342)",0.8436947667716899,373.420207296,350.0287624608985,0.7164385326873068,28.416518801198887,11.774613847898852,8.537638650717223,0.7250886322901148,0.4143580686386569,0.3004463252675772,0.12449235906745498,0.21785021506485852,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,23,0.2553302158895685,"(90.00428650234069, 112.72601352267897, 116.11192232447797)",18.830837076842265,2,23
8,18982.0,20972.0,"(66.21588873669792, 73.8115056369192, 155.28305763354757)",0.9051115773412168,645.620035968,489.40106415240825,0.7381374071032237,30.027557300261392,17.35457975150866,8.981592098990793,0.5175344046121318,0.5779550956466774,0.2991116463180509,0.17287310015678423,0.15480056778976706,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,23,0.3221125077779744,"(90.00428650234069, 112.72601352267897, 116.11192232447797)",19.479392598895625,0,23
9,8649.0,10487.0,"(55.975604116082785, 128.437391605966, 159.4960110995491)",0.8247353866692095,294.171725376,290.326644030219,0.7367687250718756,19.34602532481522,12.360622770588442,9.692844262116967,0.7841711895925393,0.638923115371581,0.5010250994391039,0.3201165174129884,0.39288944824288236,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,23,0.25770820198794203,"(90.00428650234069, 112.72601352267897, 116.11192232447797)",18.575623272581872,2,23
10,27279.0,31594.0,"(75.46893214560652, 145.6229700502218, 152.96554125884379)",0.863423434829398,927.819458496,595.539986670803,0.7724709959445641,25.401681662117074,21.88481651278393,12.640522599985353,0.5775932639234804,0.8615499085409751,0.49762542370715795,0.428729138282566,0.2874250926903223,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,23,0.38030774934343714,"(90.00428650234069, 112.72601352267897, 116.11192232447797)",16.684192748436974,1,23
11,19416.0,21455.0,"(83.93139678615574, 132.1822208487845, 72.47187886279357)",0.9049638778839432,660.381341184,472.76131780453505,0.775720709295416,26.32311867042937,18.810388910021018,9.727279536980138,0.5171227231669857,0.7145957568907694,0.36953370376692796,0.26406721673997724,0.19109427519393601,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,23,0.43353079739720596,"(90.00428650234069, 112.72601352267897, 116.11192232447797)",15.605494177065582,0,23
