label,area,area_convex,centroid,solidity,volume_um,surface_area_um,sphericity,ellipsoid_r_axis_major,ellipsoid_r_axis_medium,ellipsoid_r_axis_minor,aspect_ratio_minor_per_medium,aspect_ratio_medium_per_major,aspect_ratio_minor_per_major,prolate_ratio,oblate_ratio,img_name,organoid,date,magnification,spacing_x_um,spacing_y_um,spacing_z_um,count,relative_z_position,organoid_center,distance_to_organoid_center_um,neighborhood_density,nuc_count_per_organoid
11,14049.0,15406.0,"(105.68972880632073, 72.60075450209979, 70.95750587230408)",0.9119174347656757,477.83773497600004,371.31238416930034,0.7960340636340782,20.734931766973354,18.188475555821665,9.169861507317357,0.5041577827220556,0.877190036612144,0.44224218388425723,0.38793043747286615,0.22295983885324672,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.5528369600407789,"(98.20537939743954, 111.61960555516578, 114.92037620333)",19.198798160400976,1,20
12,13364.0,14563.0,"(109.96393295420533, 54.43632146064053, 97.44545046393296)",0.917668062899128,454.539361536,351.71555576930564,0.8128433917872909,20.109794715334584,17.199159930070174,9.578714826689518,0.5569292259410042,0.8552628295581294,0.47632086564192205,0.4073795313264879,0.26527701100150475,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.5804124706722925,"(98.20537939743954, 111.61960555516578, 114.92037620333)",19.74424363007373,1,20
13,14757.0,15877.0,"(114.56075083011453, 153.90479094666938, 156.61814731991598)",0.929457706115765,501.918389568,362.0601341590957,0.8435784726575887,20.690196324071266,15.86050294853554,10.952292610072734,0.6905387960023046,0.7665709256747462,0.5293469640658113,0.4057819922470456,0.3655346152334805,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.6100693601942873,"(98.20537939743954, 111.61960555516578, 114.92037620333)",19.957556305065058,1,20
14,5315.0,6197.0,"(122.48936970837254, 161.9552210724365, 114.88842897460019)",0.8576730676133613,180.77497056,192.56238841529284,0.8029186150350829,15.209611198189448,10.394734948408965,8.631061809929161,0.8303301481727772,0.6834319965816322,0.5674741909876435,0.38783001935523176,0.47119092908699683,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.6612217400540163,"(98.20537939743954, 111.61960555516578, 114.92037620333)",18.107476777154666,2,20
15,12996.0,14276.0,"(136.61003385657125, 130.68875038473377, 78.35103108648815)",0.9103390305407677,442.022863104,353.459138475014,0.7939163247194497,22.81437382326176,15.590386829071884,9.058816783488455,0.5810514442525695,0.6833580859964594,0.39706620280991434,0.27133840036606505,0.23071589060658437,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.7523227990746533,"(98.20537939743954, 111.61960555516578, 114.92037620333)",18.258964651514493,1,20
16,12478.0,14448.0,"(135.03774643372336, 131.23705722070844, 154.32913928514185)",0.8636489479512736,424.404531072,352.2397679853723,0.7753522997515504,20.645268590481784,15.392700638594945,9.981897285691561,0.6484825190885226,0.7455800621403171,0.48349563687893005,0.3604847069887649,0.3135384685715582,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.7421790092498282,"(98.20537939743954, 111.61960555516578, 114.92037620333)",18.59691777834714,2,20
17,10809.0,13396.0,"(146.34980109168285, 110.70385789619762, 144.49523545193819)",0.8068826515377725,367.638129216,337.27428849955726,0.7358363782706986,23.919071357645997,11.815387493799937,10.169021687593377,0.8606591779515922,0.4939735041186295,0.42514282998460706,0.2100092934784071,0.36590307856656545,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.8151600070431152,"(98.20537939743954, 111.61960555516578, 114.92037620333)",18.309286250993235,2,20
18,15266.0,16972.0,"(152.8974846063147, 87.0890213546443, 119.41739813965675)",0.8994814989394296,519.230611584,396.7363277249963,0.7874488404995083,23.468727300427247,17.171448758681795,9.382818694967348,0.546419747502286,0.731673624175146,0.3998009169758658,0.2925237858722784,0.21845911610513497,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.8574031264923528,"(98.20537939743954, 111.61960555516578, 114.92037620333)",19.47560507117683,0,20
19,11832.0,12889.0,"(155.0343137254902, 137.07564232589587, 117.59144692359702)",0.9179920862751183,402.432634368,310.06137180172084,0.8501559292691476,19.63361817521772,13.329284434604325,11.152129226375628,0.8366637594906028,0.6789010724181772,0.5680119235715941,0.385623904059067,0.4752349914108988,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.8711891208096142,"(98.20537939743954, 111.61960555516578, 114.92037620333)",20.193992900327554,1,20
20,15209.0,16355.0,"(158.7636267999211, 113.36314024590703, 95.64954960878427)",0.9299296851115867,517.291914816,360.6965769720652,0.8639711301317056,20.775581890293104,14.925531235063039,11.886079192839324,0.7963588702904297,0.7184170009715414,0.5721177512911353,0.4110191190851596,0.45561104609130954,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.8952492051607813,"(98.20537939743954, 111.61960555516578, 114.92037620333)",20.59810984008229,3,20
1,7482.0,8784.0,"(43.9389200748463, 36.19780807270783, 58.265570703020586)",0.851775956284153,254.47945996800001,247.23735768994413,0.7854861298477627,17.71340650024197,13.036039566406831,8.392133897950629,0.6437640707670682,0.7359419864399744,0.4737730090390005,0.348669449393806,0.30499804091850996,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,12,0.1075578385121288,"(91.7092932531351, 71.54675707881745, 73.40325852579016)",19.869169810612377,0,12
2,11793.0,12768.0,"(56.34113457135589, 96.06715848384636, 68.65572797422199)",0.9236372180451128,401.106157632,305.6131103709545,0.86063373006426,18.47098590632802,13.844567729452697,11.305729964315955,0.816618487861079,0.7495305231492625,0.6120804824198743,0.4587730041976214,0.49983623800299753,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,12,0.21928950064284583,"(91.7092932531351, 71.54675707881745, 73.40325852579016)",14.028473338005144,0,12
3,10161.0,11149.0,"(61.88426335990552, 85.076468851491, 89.99655545714005)",0.9113821867432057,345.598208064,297.7793666807482,0.7997799465404305,21.427907433153212,13.31196246273298,8.803766914880619,0.6613425285360355,0.6212441650805688,0.41085518697264156,0.25524138759983966,0.2717160082146324,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,12,0.2692275978369867,"(91.7092932531351, 71.54675707881745, 73.40325852579016)",11.895359014777757,1,12
4,15755.0,16939.0,"(78.39955569660425, 32.752967311964454, 91.58095842589654)",0.9301021311765748,535.86258912,382.8442111554218,0.8333568288846684,21.49181128806251,17.23914979436931,10.295554574351993,0.5972193929027028,0.802126426819348,0.4790454576562652,0.3842550212338593,0.2860952373942721,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,12,0.418014015284723,"(91.7092932531351, 71.54675707881745, 73.40325852579016)",14.535060384848135,0,12
5,10877.0,11965.0,"(84.10149857497471, 56.039900707915784, 103.42980601268732)",0.9090681153363979,369.950960448,307.1176343551718,0.8114756205978211,23.700039101778106,11.616594764835815,9.705554745319048,0.8354905152324321,0.490150869158873,0.4095164022151712,0.20072482048058082,0.3421470698828853,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,12,0.46938287004481727,"(91.7092932531351, 71.54675707881745, 73.40325852579016)",11.223383796557478,1,12
6,10079.0,11263.0,"(78.78499851175712, 56.71217382676853, 38.70274828852069)",0.8948770309864157,342.809205696,306.5787971405398,0.772639651973709,21.09721509853007,15.703757717088461,7.602743728464371,0.4841353175101042,0.7443521641954821,0.36036717135211294,0.26824008390094944,0.1744664749227733,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,12,0.4214864730788929,"(91.7092932531351, 71.54675707881745, 73.40325852579016)",12.924423214165627,0,12
7,7008.0,8219.0,"(77.87243150684931, 107.68122146118722, 49.257705479452056)",0.8526584742669424,238.357665792,232.360505020438,0.8000943961438738,16.86873386817858,11.068270546494428,9.543817771684806,0.8622682045577165,0.6561411563539912,0.5657696568257798,0.371224756859668,0.4878451861844006,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,12,0.4132651487103542,"(91.7092932531351, 71.54675707881745, 73.40325852579016)",14.777263112015177,0,12
8,17856.0,23553.0,"(104.01512096774194, 104.98588709677419, 70.5169690860215)",0.7581199847153229,607.322271744,483.9319263174101,0.7166591581782603,28.18047223926078,15.687511633296307,11.385591601558783,0.7257742252374291,0.5566802252320174,0.404024159172765,0.22491225992747133,0.29323032110081726,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,12,0.6487848735832606,"(91.7092932531351, 71.54675707881745, 73.40325852579016)",11.582442520021754,0,12
9,10725.0,11576.0,"(107.50778554778555, 90.79375291375291, 99.35804195804195)",0.9264858327574291,364.7811024,288.6459752035863,0.8553427382047893,19.318057748304653,12.47203399843828,10.980261430802372,0.8803905948442168,0.6456153181099596,0.5683936539513657,0.3669636497074932,0.5004084271079207,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,12,0.6802503202503202,"(91.7092932531351, 71.54675707881745, 73.40325852579016)",11.653600320909387,0,12
10,12170.0,13582.0,"(117.78077239112572, 48.84774034511093, 52.54823336072309)",0.8960388749815933,413.92876608,335.47400014165726,0.800649302927832,20.408531764681747,15.890042473469821,9.323110128931553,0.5867265707122882,0.7785980224686493,0.4568241476863997,0.3556823780045569,0.2680308655906051,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,12,0.7727997512714029,"(91.7092932531351, 71.54675707881745, 73.40325852579016)",13.080532316663477,0,12
11,10853.0,11898.0,"(120.34478945913573, 55.96913295862895, 88.32451856629504)",0.9121701126239704,369.134667072,293.5299804608093,0.8477898535513673,19.60888258592676,13.213854032724084,10.316161869810617,0.780708023886344,0.6738708325076938,0.526096366001727,0.35452099613685617,0.41072765427499514,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,12,0.7958990041363578,"(91.7092932531351, 71.54675707881745, 73.40325852579016)",11.615741245118432,0,12
12,16225.0,18650.0,"(127.45670261941449, 81.14835130970724, 59.32936825885979)",0.8699731903485255,551.8483344,399.55171822840225,0.8143122083968176,18.41553435103302,16.08435012657454,13.874970756003455,0.8626379460043739,0.8734120780846247,0.7534384010543326,0.6580621995736216,0.6499445547263292,20231108_P021N_B009a,P021N_B009a,20231108,40x,0.324,0.324,0.324,12,0.859970293868599,"(91.7092932531351, 71.54675707881745, 73.40325852579016)",12.83032749015216,0,12
1,7458.0,8116.0,"(35.230088495575224, 61.09895414320193, 82.38160364709037)",0.9189255791030064,253.663166592,225.7990387201741,0.8582233154517228,15.6723301957841,11.227070827143509,10.657977080076185,0.9493105765671812,0.7163625757555581,0.6800505698216599,0.4871627778414794,0.6455791985322401,20231108_P021N_A005,P021N_A005,20231108,40x,0.324,0.324,0.324,10,0.15811209439528023,"(68.82319563793303, 84.85609417748834, 73.54465145851798)",13.634935827159033,0,10
2,11014.0,12585.0,"(36.705011803159614, 91.98619938260396, 79.62139095696386)",0.8751688518077075,374.610635136,311.3246771901654,0.8072176449095579,19.82059424668016,12.760035838063933,10.810280196688945,0.8471982629109275,0.6437766536793502,0.5454064626997552,0.35111994745193975,0.4620674077796261,20231108_P021N_A005,P021N_A005,20231108,40x,0.324,0.324,0.324,10,0.17450013114621793,"(68.82319563793303, 84.85609417748834, 73.54465145851798)",10.839932649780906,0,10
3,7094.0,7974.0,"(52.801663377502116, 49.382435861291235, 51.94868903298562)",0.889641334336594,241.282717056,231.38385984559474,0.8100314347813611,17.617820497794362,12.378357231553874,7.961484150929149,0.6431777659990615,0.7026043450211997,0.4518994930119691,0.31750654730308675,0.2906517063715468,20231108_P021N_A005,P021N_A005,20231108,40x,0.324,0.324,0.324,10,0.353351815305579,"(68.82319563793303, 84.85609417748834, 73.54465145851798)",14.422387979233147,0,10
4,8320.0,9056.0,"(54.64663461538461, 69.73617788461539, 103.71947115384616)",0.9187279151943463,282.98170368,242.71151847394262,0.8588143815141703,15.612191564217746,13.541279630232559,9.588736032371362,0.7081115148795346,0.8673529001058635,0.6141825760291206,0.5327130385133478,0.4349097543245956,20231108_P021N_A005,P021N_A005,20231108,40x,0.324,0.324,0.324,10,0.3738514957264957,"(68.82319563793303, 84.85609417748834, 73.54465145851798)",11.86081866464157,0,10
